state	zip	pci
CA	90265	264
CA	90266	281
CA	90270	28
CA	90272	470
CA	90274	286
CA	90275	158
CA	90277	117
CA	90278	102
CA	90280	34
CA	90290	155
CA	90291	116
CA	90292	163
CA	90293	108
CA	90301	33
CA	90302	37
CA	90303	34
CA	90304	29
CA	90305	50
CA	90401	288
CA	90402	520
CA	90403	134
CA	90404	101
CA	90405	140
CA	90501	59
CA	90502	56
CA	90503	85
CA	90504	62
CA	90505	92
CA	90601	59
CA	90602	49
CA	90603	74
CA	90604	51
CA	90605	53
CA	90606	42
CA	90620	54
CA	90621	47
CA	90623	73
CA	90630	74
CA	90631	62
CA	90638	63
CA	90640	43
CA	90650	41
CA	90660	40
CA	90670	53
CA	90680	39
CA	90701	45
CA	90703	80
CA	90706	43
CA	90710	51
CA	90712	67
CA	90713	70
CA	90715	48
CA	90716	30
CA	90717	57
CA	90720	104
CA	90723	33
CA	90731	52
CA	90732	84
CA	90740	93
CA	90744	35
CA	90745	47
CA	90746	55
CA	90755	68
CA	90802	52
CA	90803	116
CA	90804	40
CA	90805	35
CA	90806	38
CA	90807	76
CA	90808	83
CA	90810	39
CA	90813	27
CA	90814	73
CA	90815	84
CA	91001	90
CA	91006	112
CA	91007	89
CA	91008	198
CA	91010	52
CA	91011	282
CA	91016	66
CA	91020	62
CA	91024	121
CA	91030	121
CA	91040	65
CA	91042	55
CA	91101	102
CA	91103	82
CA	91104	70
CA	91105	217
CA	91106	124
CA	91107	106
CA	91108	294
CA	91201	57
CA	91202	80
CA	91203	57
CA	91204	40
CA	91205	40
CA	91206	73
CA	91207	124
CA	91208	119
CA	91210	164
CA	91214	88
CA	91301	136
CA	91302	275
CA	91303	39
CA	91304	58
CA	91306	46
CA	91307	98
CA	91311	85
CA	91316	120
CA	91320	107
CA	91321	63
CA	91324	63
CA	91325	65
CA	91326	103
CA	91331	32
CA	91335	41
CA	91340	35
CA	91342	45
CA	91343	46
CA	91344	72
CA	91345	45
CA	91350	83
CA	91351	54
CA	91352	40
CA	91354	99
CA	91355	91
CA	91356	128
CA	91360	85
CA	91361	193
CA	91362	157
CA	91364	147
CA	91367	106
CA	91377	128
CA	91381	134
CA	91384	75
CA	91387	73
CA	91390	92
CA	91401	59
CA	91402	32
CA	91403	154
CA	91405	34
CA	91406	47
CA	91411	55
CA	91423	117
CA	91436	435
CA	91501	73
CA	91502	52
CA	91504	75
CA	91505	79
CA	91506	72
CA	91601	45
CA	91602	99
CA	91604	129
CA	91605	35
CA	91606	37
CA	91607	71
CA	91701	69
CA	91702	43
CA	91706	34
CA	91708	73
CA	91709	83
CA	91710	55
CA	91711	101
CA	91722	47
CA	91723	48
CA	91724	64
CA	91730	53
CA	91731	33
CA	91732	32
CA	91733	31
CA	91737	88
CA	91739	87
CA	91740	59
CA	91741	99
CA	91744	34
CA	91745	62
CA	91746	38
CA	91748	56
CA	91750	82
CA	91752	49
CA	91754	53
CA	91755	42
CA	91761	47
CA	91762	40
CA	91763	38
CA	91764	36
CA	91765	81
CA	91766	38
CA	91767	39
CA	91768	36
CA	91770	37
CA	91773	76
CA	91775	76
CA	91776	39
CA	91780	59
CA	91784	104
CA	91786	49
CA	91789	86
CA	91790	48
CA	91791	68
CA	91792	48
CA	91801	48
CA	91803	47
CA	91901	84
CA	91902	81
CA	91905	44
CA	91906	48
CA	91910	50
CA	91911	41
CA	91913	71
CA	91914	99
CA	91915	76
CA	91916	80
CA	91917	39
CA	91932	40
CA	91934	33
CA	91935	92
CA	91941	80
CA	91942	55
CA	91945	43
CA	91950	33
CA	91962	71
